產品大類	品名	存貨代碼	進價	卡多摩進價	定價	樣品價	國際條碼	保存期限	退換貨	註記
多醣體30(藥)	原力葡聚多醣體(30入/瓶)-藥局版	P3LPD03002	495		990	350	4718287343142	3年
C+鋅-粉01	原力維生素C+鋅粉(1入)	P3LCX00101	0		0	4		3年
C+鋅-粉05	原力維生素C+鋅粉(5入)	P3LCX00501	問助理		問助理	18	4718287342268	3年
C+鋅-粉30(藥)	原力維生素C+鋅粉包(30入/盒)-藥局版	P3LCX03002	120		239	59	4718287343203	3年	不可	12盒可免運出，無搭贈
D3-800IU120(藥)	原力維生素D800IU錠(120入/瓶)-藥局版	P3LSD12002	175		349	115	4718287343227	3年		12盒可免運出
大豆萃取10(公)	悠活大豆萃取膠囊(10入/瓶)	P2HDJ01001	問助理		問助理	65	4718287341506	2年
大豆萃取60(藥)	悠活大豆萃取膠囊(60入/瓶)-藥局版	P2HDJ06002	550		1100	380	4718287343180	3年
活生素030	悠活生法素複方膠囊(30入/盒)	P2HSS03001	340		680	240	4718287343562	3年
活苦牛70(藥)	悠活好代謝(70入/盒)合包-藥局版	P2HKN07002	1100		2180	1000	4718287341995	3年
助眠-10	悠活助眠複方膠囊(10入/袋)	P2HZM01001	145		290	105	4718287342367	3年
助眠-30	悠活助眠複方膠囊(30入/盒)	P2HZM03001	問助理		820	299	4718287342374	3年
助眠-60	悠活助眠複方膠囊(60入/盒)	P2HZM06001	790		1580	550	4718287342381	3年	售完不補，改30入
活紅納60(公)	悠活紅麴納豆Q10膠囊(60入/盒)	P2HHN06001	590		1180	450	4718287342879	3年
活紅納60(藥)	悠活紅麴納豆Q10膠囊(60入/盒)-藥局版	P2HHN06002	590		1180	450	4718287343159	3年
魚油80%10(公)	悠活深海黃金魚油軟膠囊(10入/瓶)	P2HJU01001	問助理		問助理	70	4718287341582	3年
魚油80%60(公)	悠活深海黃金魚油軟膠囊(60入/瓶)	P2HJU06001		590
魚油80%60(藥)	悠活深海黃金魚油軟膠囊(60入/瓶)-藥局版	P2HJU06003	590		1180	400	4718287343098	3年
魚磷油-60	悠活魚油磷蝦油軟膠囊(60入/盒)	P2HYL06001	640		1280	420	4718287343043	3年	不可
噴劑紫錐花	悠活紫錐花+維生素C噴劑(50ml/盒)	P2HZC05001	250		499	200	4718287341872	3年
南瓜60	悠活黑麥花南瓜籽複方膠囊(60入/瓶)	P2HMG06001	420		1280	350	4718287343388	3年
膠原蛋白01	悠活煥妍膠原蛋白精華粉(1入)	P2HJD00101	0		0	12	4718287341957	2年
膠原蛋白20(藥)	悠活煥妍膠原蛋白精華粉(20入/盒)	P2HJD02001	425		850	250	4718287341056	2年
膠原蛋白07(藥)	悠活煥妍膠原蛋白精華粉(7入/盒)	P2HJD00701	問助理		問助理	100	4718287341186	2年
成人葉蝦10(藥)	悠活葉黃素+蝦紅素複方軟膠囊(10入/瓶)-藥局版	P2HHX01002	問助理		問助理	130	4718287342749	3年
成人葉蝦30(藥)	悠活葉黃素+蝦紅素複方軟膠囊(30入/瓶)-藥局版	P2HHX03002	590		1180	380	4718287342756	3年
葉酸鐵10	悠活葉酸+甘胺酸亞鐵植物膠囊(10入/瓶)	P2HTY01001	問助理		問助理	50	4718287341063	3年	不可
葉酸鐵60	悠活葉酸+甘胺酸亞鐵植物膠囊(60入/瓶)	P2HTY06001	490		980	300	4718287340981	3年	不可
C+鋅	悠活維生素C+鋅口含錠-鳳梨蘋果口味(28入/包)	P2HCF02801	70		129	35	4718287341407	2年	不可
D3素-液-50ML	悠活維生素D3素食噴劑(50ml/瓶)	P2HUP05001	600	540	1080	450	4718287341858	3年	不可
私密膠囊10(公)	悠活蔓越莓私密益生菌植物膠囊(10入/瓶)-60億	P2HMS01001	問助理		問助理	60	4718287341131	2年
私密膠囊60(藥)	悠活蔓越莓私密益生菌植物膠囊(60入/瓶)-藥局版	P2HMS06002	475		950	300	4718287343135	2年
優4蛋白-10	悠活優4蛋白+膽鹼沖泡粉包(10入/盒)	P2UGS01001	340		680	240	4718287343241	2年	預計26/8月初到貨
優4蛋白-01	悠活優4蛋白+膽鹼沖泡粉包(1包)	P2UGS00101	35		70	25	4718287343234	2年
薑黃10	悠活薑黃朝鮮薊植物膠囊(10入/瓶)	P2JHC01001	130		260	85	4718287342084	3年
薑黃60(藥)	悠活薑黃朝鮮薊植物膠囊(60入/瓶)-藥局版	P2JHC06002	540		1080	430	4718287343197	3年
UC II10	悠活關健複方膠囊(10入/盒)	P2HBB01001	問助理		570	180	4718287341520	2年
UC II30(藥)	悠活關健複方膠囊(30入/盒)-藥局版	P2HBB03002	840		1780	535	4718287343081	3年
